,Artist_followers,Track_number,Tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Explicit_false,Explicit_true,album,compilation,single,bolero,boy band,country,dance/electronic,else,funk,hip hop,house,indie,jazz,k-pop,latin,metal,opm,pop,r&b/soul,rap,reggae,reggaeton,rock,trap,Top50_dummy
27252,3657373.0,10.0,12.0,0.666,0.628,8.0,-5.613,1.0,0.0623,0.144,0.0,0.189,0.767,82.992,186468.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
85024,878472.0,1.0,1.0,0.655,0.785,8.0,-4.022,1.0,0.0697,0.279,0.0,0.116,0.933,171.969,178840.0,4.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87358,3143752.0,1.0,1.0,0.652,0.877,10.0,-3.584,0.0,0.155,0.294,0.0,0.0959,0.415,81.986,217482.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20811,16588925.0,1.0,12.0,0.77,0.881,8.0,-4.776,1.0,0.067,0.217,0.0,0.324,0.367,99.995,223297.0,4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
85128,1435088.0,9.0,14.0,0.809,0.623,10.0,-6.152,0.0,0.0337,0.0455,1.67e-06,0.321,0.535,121.989,181975.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25133,4807934.0,9.0,13.0,0.828,0.538,0.0,-6.067,0.0,0.341,0.071,0.0,0.116,0.56,145.071,132813.0,4.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44769,50593376.0,8.0,17.0,0.555,0.88,11.0,-4.325,0.0,0.265,0.0678,0.0,0.0723,0.391,87.195,205264.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67562,1739825.0,3.0,5.0,0.632,0.495,7.0,-8.335,1.0,0.143,0.333,0.0,0.0941,0.233,77.083,213933.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
85446,601185.0,1.0,1.0,0.686,0.83,8.0,-4.437,1.0,0.0369,0.0948,1.33e-06,0.182,0.486,123.032,214634.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35908,3550384.0,2.0,9.0,0.572,0.835,0.0,-6.219,1.0,0.0317,0.171,0.000376,0.0702,0.796,129.994,241600.0,4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
45137,1338399.0,2.0,16.0,0.845,0.583,9.0,-5.948,0.0,0.0773,0.114,0.000536,0.1,0.842,149.941,200584.0,4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
88460,6170158.0,1.0,14.0,0.592,0.884,1.0,-3.689,1.0,0.0554,0.00153,0.0,0.0699,0.772,82.225,200029.0,4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
58818,11968318.0,1.0,1.0,0.705,0.816,10.0,-7.046,0.0,0.32,0.0805,0.0,0.476,0.929,94.211,138872.0,4.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46788,2143069.0,1.0,1.0,0.739,0.742,7.0,-4.586,1.0,0.0329,0.0227,1.39e-06,0.229,0.659,124.016,189000.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88937,2091715.0,1.0,1.0,0.878,0.647,10.0,-4.566,0.0,0.0659,0.203,0.00185,0.335,0.212,131.027,157557.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
85571,9717614.0,3.0,12.0,0.789,0.584,1.0,-8.583,1.0,0.292,0.00595,0.0,0.332,0.485,83.014,279092.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86874,2441830.0,13.0,13.0,0.641,0.76,6.0,-4.442,0.0,0.179,0.195,0.0,0.0768,0.59,141.82,221827.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20871,22910410.0,5.0,7.0,0.448,0.541,4.0,-11.34,0.0,0.397,0.47,0.0,0.1,0.237,81.92,209099.0,4.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6802,16168.0,1.0,2.0,0.754,0.424,2.0,-8.463,1.0,0.0363,0.643,0.0,0.0652,0.806,119.705,130973.0,4.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85734,3809217.0,17.0,20.0,0.525,0.478,6.0,-11.203,0.0,0.441,0.787,6.14e-06,0.104,0.276,147.741,100387.0,4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7161,29743681.0,8.0,14.0,0.693,0.416,0.0,-9.231,0.0,0.0494,0.649,1.62e-06,0.0631,0.235,127.027,238173.0,4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41691,10919803.0,14.0,24.0,0.952,0.504,10.0,-6.716,0.0,0.403,0.00874,0.0,0.116,0.332,135.078,270213.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69547,1328101.0,11.0,17.0,0.786,0.82,9.0,-5.093,0.0,0.232,0.222,0.0,0.575,0.49,119.982,220996.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87248,9442830.0,1.0,1.0,0.671,0.568,0.0,-6.48,1.0,0.421,0.17,0.0,0.139,0.336,113.296,209587.0,5.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51384,15770741.0,13.0,14.0,0.855,0.478,1.0,-9.116,1.0,0.193,0.00759,0.0,0.101,0.284,130.018,221827.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85954,12829933.0,5.0,15.0,0.739,0.448,10.0,-10.28,0.0,0.138,0.189,0.0,0.118,0.553,81.044,206533.0,4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20950,4300741.0,9.0,12.0,0.731,0.664,0.0,-5.474,1.0,0.0302,0.00307,0.35,0.133,0.661,118.018,239267.0,4.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73041,2691848.0,4.0,15.0,0.533,0.858,2.0,-4.212,1.0,0.0766,0.00021,0.0,0.148,0.506,160.057,205159.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57204,5045736.0,8.0,22.0,0.543,0.753,1.0,-7.395,1.0,0.287,0.227,0.0,0.106,0.183,90.535,171944.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
86642,4807934.0,3.0,24.0,0.833,0.513,11.0,-9.865,1.0,0.392,0.00332,0.000133,0.115,0.478,127.884,136587.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73775,4325497.0,1.0,1.0,0.685,0.638,6.0,-6.539,1.0,0.0367,0.0371,0.0,0.0987,0.414,123.442,183894.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
68415,4758552.0,7.0,12.0,0.325,0.0409,2.0,-19.102,1.0,0.0359,0.984,0.000585,0.109,0.212,99.286,155493.0,5.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
87918,1435088.0,1.0,1.0,0.467,0.879,5.0,-4.372,0.0,0.483,0.373,0.0,0.274,0.795,172.783,133995.0,4.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57210,12691508.0,1.0,1.0,0.464,0.822,1.0,-1.881,1.0,0.294,0.0568,0.0,0.103,0.722,79.973,202641.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
89133,3520064.0,1.0,1.0,0.971,0.548,11.0,-6.82,1.0,0.154,0.00529,0.00155,0.11,0.183,129.994,302057.0,4.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87022,258233.0,1.0,1.0,0.888,0.516,11.0,-10.228,0.0,0.41,0.148,0.0,0.106,0.606,127.803,114865.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
