,Popularity,Title,Artist,Album/Single,Genre,Artist_followers,Explicit,Album,Release_date,Track_number,Tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Genre_new,Days_since_release,Released_after_2017,Explicit_false,Explicit_true,album,compilation,single,bolero,boy band,country,dance/electronic,else,funk,hip hop,house,indie,jazz,k-pop,latin,metal,opm,pop,r&b/soul,rap,reggae,reggaeton,rock,trap,syuzhet_norm,bing_norm,afinn_norm,nrc_norm,syuzhet,bing,afinn,nrc,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,n_words,anger_norm,anticipation_norm,disgust_norm,fear_norm,joy_norm,sadness_norm,surprise_norm,trust_norm,negative_norm,positive_norm,anger_norm2,anticipation_norm2,disgust_norm2,fear_norm2,joy_norm2,sadness_norm2,surprise_norm2,trust_norm2,negative_norm2,positive_norm2,negative_bog_jr,positive_bog_jr,Bayes,Negative_Bayes,Neutral_Bayes,Positive_Bayes,LDA_Topic,Celebrate,Desire,Explore,Fun,Hope,Love,Nostalgia,Thug,bing_norm_negative,bing_norm_neutral,bing_norm_positive,Argentina,Australia,Austria,Belgium,Brazil,Canada,Chile,Colombia,Costa Rica,Denmark,Ecuador,Finland,France,Germany,Global,Indonesia,Ireland,Italy,Malaysia,Mexico,Netherlands,New Zealand,Norway,Peru,Philippines,Poland,Portugal,Singapore,Spain,Sweden,Switzerland,Turkey,UK,USA,Popu_max,Top10_dummy,Top50_dummy,Cluster
40219,9828.2,ransom  - remix,Lil Tecca - Juice WRLD,album,melodic rap,3014761,True,We Love You Tecca,8/30/2019,18,18,0.684,0.671,2,-6.424,0,0.289,0.0119,0.0,0.0769,0.45,179.987,171253,4,rap,442.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,1,english speaking and nordic
40231,4886.6,tkn,ROSALÍA - Travis Scott,single,r&b en espanol,4214973,False,TKN (feat. Travis Scott),5/28/2020,1,1,0.776,0.509,0,-6.266,0,0.467,0.192,1.49e-06,0.115,0.485,94.634,129371,4,r&b/soul,170.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,1,english speaking and nordic
40266,572.05,the beautiful & damned,G-Eazy - Zoe Nash,album,hip hop,4646328,True,The Beautiful & Damned,12/15/2017,1,20,0.656,0.804,8,-5.191,0,0.363,0.173,0.0,0.837,0.314,125.882,189307,4,hip hop,1065.0,1.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,87,0,0,english speaking and nordic
40273,1535.75,lose it,Quavo - Lil Baby,album,atl hip hop,4454166,True,QUAVO HUNCHO,10/12/2018,12,19,0.962,0.573,7,-5.924,1,0.308,0.0161,0.0,0.109,0.728,125.035,237655,4,hip hop,764.0,1.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,-0.5,-5.0,-5.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,343.0,0.002915452,0.005830904,0.002915452,0.005830904,0.005830904,0.005830904,0.005830904,0.005830904,0.008746356,0.008746356,0.071428571,0.142857143,0.071428571,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.5,0.5,4.0,0.0,1.0,0.0,0.0,1.0,Celebrate,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,1,english speaking and nordic
40280,1627.8,dakiti,Bad Bunny - Jhay Cortez,single,latin,26265604,True,Dakiti,10/30/2020,1,1,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,205090,4,latin,15.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,english speaking and nordic
40300,21799.45,chicago freestyle,Drake - Giveon,album,canadian hip hop,50593376,True,Dark Lane Demo Tapes,5/1/2020,3,14,0.735,0.449,10,-7.507,1,0.347,0.629,0.0,0.113,0.0397,122.947,220488,4,hip hop,197.0,1.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,2.6,2.0,4.0,5.0,2.0,2.0,1.0,1.0,6.0,1.0,2.0,7.0,4.0,9.0,491.0,0.00407332,0.00407332,0.00203666,0.00203666,0.012219959,0.00203666,0.00407332,0.014256619,0.00814664,0.018329939,0.090909091,0.090909091,0.045454545,0.045454545,0.272727273,0.045454545,0.090909091,0.318181818,0.307692308,0.692307692,2.0,3.0,-1.0,1.0,0.0,0.0,Desire,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,english speaking and nordic
40322,219.2,finally // beautiful stranger,Halsey,album,dance pop,12622150,False,Manic,1/17/2020,10,16,0.626,0.55,9,-5.105,0,0.029,0.051,0.0,0.118,0.123,133.976,221096,4,pop,302.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,118,0,0,english speaking and nordic
40338,692.6,when i was older - music inspired by the film roma,Billie Eilish,single,electropop,34697267,False,WHEN I WAS OLDER (Music Inspired By The Film ROMA),1/9/2019,1,1,0.696,0.332,6,-12.834,1,0.0425,0.853,0.433,0.0848,0.0628,150.13,270520,4,pop,675.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,0,1,english speaking and nordic
40373,5808.2,teeth,5 Seconds of Summer,album,boy band,6734577,False,13 Reasons Why (Season 3),8/23/2019,1,18,0.749,0.461,10,-2.961,0,0.0416,0.0516,6.24e-06,0.0738,0.42,139.02,204887,4,boy band,449.0,1.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,1.0,-1.0,-0.6,-2.0,8.0,-3.0,4.0,4.0,3.0,4.0,4.0,4.0,0.0,3.0,7.0,4.0,338.0,0.01183432,0.01183432,0.00887574,0.01183432,0.01183432,0.01183432,0.0,0.00887574,0.020710059,0.01183432,0.153846154,0.153846154,0.115384615,0.153846154,0.153846154,0.153846154,0.0,0.115384615,0.636363636,0.363636364,0.0,8.0,-1.0,1.0,0.0,0.0,Love,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,0,0,english speaking and nordic
40399,9.6,no control,One Direction,album,boy band,18426467,False,FOUR (Deluxe),11/17/2014,8,16,0.558,0.916,1,-3.145,0,0.0839,0.0278,0.0,0.0296,0.85,142.984,199720,4,boy band,2180.0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,-1.0,1.0,1.2,0.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,191.0,0.0,0.0,0.0,0.0,0.0,0.005235602,0.0,0.005235602,0.005235602,0.010471204,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.333333333,0.666666667,0.0,1.0,-1.0,1.0,0.0,0.0,Explore,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,189,0,0,english speaking and nordic
