,Popularity,Title,Artist,Album/Single,Genre,Artist_followers,Explicit,Album,Release_date,Track_number,Tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Genre_new,Days_since_release,Released_after_2017,Explicit_false,Explicit_true,album,compilation,single,bolero,boy band,country,dance/electronic,else,funk,hip hop,house,indie,jazz,k-pop,latin,metal,opm,pop,r&b/soul,rap,reggae,reggaeton,rock,trap,syuzhet_norm,bing_norm,afinn_norm,nrc_norm,syuzhet,bing,afinn,nrc,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,n_words,anger_norm,anticipation_norm,disgust_norm,fear_norm,joy_norm,sadness_norm,surprise_norm,trust_norm,negative_norm,positive_norm,anger_norm2,anticipation_norm2,disgust_norm2,fear_norm2,joy_norm2,sadness_norm2,surprise_norm2,trust_norm2,negative_norm2,positive_norm2,negative_bog_jr,positive_bog_jr,Bayes,Negative_Bayes,Neutral_Bayes,Positive_Bayes,LDA_Topic,Celebrate,Desire,Explore,Fun,Hope,Love,Nostalgia,Thug,bing_norm_negative,bing_norm_neutral,bing_norm_positive,Argentina,Australia,Austria,Belgium,Brazil,Canada,Chile,Colombia,Costa Rica,Denmark,Ecuador,Finland,France,Germany,Global,Indonesia,Ireland,Italy,Malaysia,Mexico,Netherlands,New Zealand,Norway,Peru,Philippines,Poland,Portugal,Singapore,Spain,Sweden,Switzerland,Turkey,UK,USA,Popu_max,Top10_dummy,Top50_dummy,Cluster
26692,3298.9,nobodys love,Maroon 5,single,pop,27713137,False,Nobody's Love,7/24/2020,1,1,0,0,1,-6,1,0,0,0,0,0,93,211254,4,pop,113.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,1.0,1.0,0.0,1.35,2.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,347.0,0.002881844,0.0,0.0,0.0,0.005763689,0.002881844,0.002881844,0.002881844,0.005763689,0.005763689,0.166666667,0.0,0.0,0.0,0.333333333,0.166666667,0.166666667,0.166666667,0.5,0.5,2.0,21.0,-1.0,1.0,0.0,0.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,0,1,english speaking and nordic
26715,1502.9,okra,"Tyler, The Creator",single,hip hop,5277768,True,OKRA,3/30/2018,1,1,0,0,1,-9,1,0,0,0,0,0,136,151027,4,hip hop,960.0,1.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,1.0,-1.0,-1.0,-4.8,2.0,-18.0,-9.0,8.0,3.0,4.0,6.0,2.0,5.0,0.0,2.0,14.0,5.0,427.0,0.018735363,0.007025761,0.009367681,0.014051522,0.004683841,0.011709602,0.0,0.004683841,0.032786885,0.011709602,0.266666667,0.1,0.133333333,0.2,0.066666667,0.166666667,0.0,0.066666667,0.736842105,0.263157895,9.0,19.0,1.0,0.0,0.0,1.0,Thug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,0,0,english speaking and nordic
26721,3519.2,bean,Lil Uzi Vert - Chief Keef,album,melodic rap,10065137,True,Eternal Atake (Deluxe) - LUV vs. The World 2,3/13/2020,3,32,0,0,0,-6,1,0,0,0,0,0,75,238816,4,rap,246.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,english speaking and nordic
26735,115.6,the truth,Kygo - Valerie Broussard,album,edm,6858400,False,Golden Hour,5/29/2020,1,18,0,0,7,-7,0,0,0,0,0,0,109,193747,4,dance/electronic,169.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,-1.0,-1.0,0.55,0.0,-7.0,-1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,5.0,4.0,306.0,0.006535948,0.006535948,0.006535948,0.003267974,0.003267974,0.006535948,0.003267974,0.009803922,0.016339869,0.013071895,0.142857143,0.142857143,0.142857143,0.071428571,0.071428571,0.142857143,0.071428571,0.214285714,0.555555556,0.444444444,0.0,0.0,-1.0,1.0,0.0,0.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,english speaking and nordic
26743,164.8,ddu-du ddu-du,BLACKPINK,single,k-pop,16413563,False,SQUARE UP,6/15/2018,1,4,0,0,4,-3,0,0,0,0,0,0,139,209355,4,k-pop,883.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,137,0,0,english speaking and nordic
26766,11004.75,do re mi,blackbear - Gucci Mane,single,pop,3657373,True,do re mi (feat. Gucci Mane),7/28/2017,1,1,0,0,8,-6,1,0,0,0,0,0,112,233705,3,pop,1205.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.0,-1.0,-1.0,1.0,-2.35,-1.0,-8.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,4.0,3.0,4.0,333.0,0.003003003,0.009009009,0.006006006,0.009009009,0.006006006,0.003003003,0.009009009,0.012012012,0.009009009,0.012012012,0.052631579,0.157894737,0.105263158,0.157894737,0.105263158,0.052631579,0.157894737,0.210526316,0.428571429,0.571428571,11.0,8.0,-1.0,1.0,0.0,0.0,Celebrate,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55,0,0,english speaking and nordic
26787,6280.55,make believe,Juice WRLD,album,chicago rap,13266070,True,Death Race For Love,3/8/2019,22,22,0,0,0,-4,1,0,0,0,0,0,83,142026,4,rap,617.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1.0,1.0,1.0,2.55,3.0,7.0,3.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,5.0,1.0,4.0,369.0,0.002710027,0.005420054,0.002710027,0.0,0.005420054,0.002710027,0.005420054,0.013550136,0.002710027,0.010840108,0.071428571,0.142857143,0.071428571,0.0,0.142857143,0.071428571,0.142857143,0.357142857,0.2,0.8,0.0,2.0,-1.0,1.0,0.0,0.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,1,english speaking and nordic
26799,1266.0,surf,Young Thug - Gunna,album,atl hip hop,5647016,True,So Much Fun,8/16/2019,6,19,0,0,0,-8,1,0,0,0,0,0,140,184093,4,hip hop,456.0,1.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,0,1,english speaking and nordic
26803,1175.1,whats the move,Young Thug - Lil Uzi Vert,album,atl hip hop,5647016,True,So Much Fun,8/16/2019,9,19,0,0,7,-7,1,0,0,0,0,0,124,251080,4,hip hop,456.0,1.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,-1.0,-1.0,1.0,0.7,-2.0,-13.0,1.0,3.0,3.0,2.0,6.0,4.0,4.0,2.0,3.0,9.0,10.0,738.0,0.004065041,0.004065041,0.002710027,0.008130081,0.005420054,0.005420054,0.002710027,0.004065041,0.012195122,0.013550136,0.111111111,0.111111111,0.074074074,0.222222222,0.148148148,0.148148148,0.074074074,0.111111111,0.473684211,0.526315789,12.0,4.0,1.0,0.0,0.0,1.0,Thug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,1,english speaking and nordic
26807,13722.3,saint-tropez,Post Malone,album,dfw rap,29173640,True,Hollywood's Bleeding,9/6/2019,2,17,0,0,0,-3,1,0,0,0,0,0,132,150867,4,rap,435.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,english speaking and nordic
